Series;Time;Value
direction;2018-09-02 23:16:31;135
direction;2018-09-02 23:22:31;135
direction;2018-09-02 23:26:31;135
direction;2018-09-02 23:32:31;135
direction;2018-09-02 23:36:31;135
direction;2018-09-02 23:42:31;135
direction;2018-09-02 23:48:31;135
direction;2018-09-02 23:52:31;270
direction;2018-09-02 23:58:31;225
direction;2018-09-03 00:02:31;270
direction;2018-09-03 00:06:31;135
direction;2018-09-03 00:12:31;135
direction;2018-09-03 00:18:31;135
direction;2018-09-03 00:24:31;135
direction;2018-09-03 00:28:31;135
direction;2018-09-03 00:34:31;90
direction;2018-09-03 00:38:31;135
direction;2018-09-03 00:42:31;180
direction;2018-09-03 00:48:31;180
direction;2018-09-03 00:52:31;180
direction;2018-09-03 00:58:31;180
direction;2018-09-03 01:04:31;180
direction;2018-09-03 01:10:31;135
direction;2018-09-03 01:16:31;135
direction;2018-09-03 01:20:31;135
direction;2018-09-03 01:24:31;135
direction;2018-09-03 01:28:31;45
direction;2018-09-03 01:34:31;270
direction;2018-09-03 01:38:31;270
direction;2018-09-03 01:44:31;180
direction;2018-09-03 01:50:31;225
direction;2018-09-03 01:56:31;135
direction;2018-09-03 02:00:31;270
direction;2018-09-03 02:06:31;270
direction;2018-09-03 02:12:31;225
direction;2018-09-03 02:16:31;225
direction;2018-09-03 02:22:31;225
direction;2018-09-03 02:28:31;270
direction;2018-09-03 02:32:31;90
direction;2018-09-03 02:38:31;270
direction;2018-09-03 02:42:31;270
direction;2018-09-03 02:48:31;270
direction;2018-09-03 02:54:31;270
direction;2018-09-03 03:00:31;270
direction;2018-09-03 03:06:31;135
direction;2018-09-03 03:12:31;135
direction;2018-09-03 03:16:31;270
direction;2018-09-03 03:20:31;135
direction;2018-09-03 03:26:31;135
direction;2018-09-03 03:32:31;135
direction;2018-09-03 03:38:31;270
direction;2018-09-03 03:42:31;270
direction;2018-09-03 03:48:31;270
direction;2018-09-03 03:54:31;270
direction;2018-09-03 03:58:31;270
direction;2018-09-03 04:02:31;270
direction;2018-09-03 04:08:31;135
direction;2018-09-03 04:14:31;315
direction;2018-09-03 04:18:31;135
